dataset,test_prevalence,view,config,selection_kind,accuracy,macro_f1,positive_precision,positive_recall,positive_f1,roc_auc,pr_auc,epoch_mean,epoch_values
gpqa,0.05000000000000001,ensemble,default_h128d1,best_loss,0.4916666666666667,0.38190748521630874,0.10960735171261486,1.0,0.19509803921568628,0.9583333333333334,0.41984126984126985,,
gpqa,0.05000000000000001,ensemble,width_only_h256d1,best_loss,0.7833333333333332,0.6068572631072632,0.21428571428571427,1.0,0.3452380952380952,0.9714912280701755,0.5833333333333334,10.666666666666666,3;14;15
gpqa,0.05000000000000001,ensemble,width_only_h256d1,best_rank,0.6833333333333332,0.5216720779220779,0.1402116402116402,1.0,0.24523809523809526,0.9517543859649124,0.6444444444444444,12.0,7;14;15
gpqa,0.05000000000000001,ensemble,width_depth_h256d2,best_loss,0.725,0.5487179487179488,0.15384615384615385,1.0,0.26666666666666666,0.9583333333333334,0.5025252525252525,5.333333333333333,4;7;5
gpqa,0.05000000000000001,ensemble,width_depth_h256d2,best_rank,0.7166666666666667,0.5428952991452992,0.15018315018315018,1.0,0.2611111111111111,0.9298245614035089,0.6112554112554113,7.333333333333333,4;5;13
gpqa,0.05000000000000001,last_layer,default_h128d1,best_loss,0.5166666666666667,0.41386800334168755,0.21451355661881977,0.8333333333333334,0.25555555555555554,0.5350877192982456,0.2297686618507052,,
gpqa,0.05000000000000001,last_layer,width_only_h256d1,best_loss,0.7916666666666666,0.5747092248952764,0.1979458450046685,0.6666666666666666,0.27758284600389865,0.850877192982456,0.3071428571428571,13.666666666666666,15;11;15
gpqa,0.05000000000000001,last_layer,width_only_h256d1,best_rank,0.6083333333333333,0.37225211014286935,0.0647130647130647,0.5,0.1065943992773261,0.7807017543859649,0.3968253968253968,9.333333333333334,6;7;15
gpqa,0.05000000000000001,last_layer,width_depth_h256d2,best_loss,0.4083333333333334,0.33748691395750213,0.10647653000594177,1.0,0.18624338624338624,0.8947368421052632,0.3175925925925926,9.0,6;15;6
gpqa,0.05000000000000001,last_layer,width_depth_h256d2,best_rank,0.45,0.36153920153920155,0.1509209744503862,0.8333333333333334,0.20846560846560847,0.8815789473684209,0.3259259259259259,5.666666666666667,6;5;6
gpqa,0.05000000000000001,prompt_length,baseline,best_loss,0.35,0.2857142857142857,0.038461538461538464,0.5,0.07142857142857144,0.4473684210526316,0.06573275862068965,,
aime,0.5833333333333334,ensemble,default_h128d1,best_loss,0.8055555555555557,0.7980283605283606,0.9259259259259259,0.7619047619047619,0.8118686868686869,0.8904761904761905,0.9218253968253967,,
aime,0.5833333333333334,ensemble,width_only_h256d1,best_loss,0.6388888888888888,0.6142982017982018,0.9047619047619048,0.4761904761904761,0.5638528138528138,0.8761904761904762,0.9119597333883047,5.0,3;6;6
aime,0.5833333333333334,ensemble,width_only_h256d1,best_rank,0.6388888888888888,0.6035839160839161,0.8888888888888888,0.5238095238095237,0.5757575757575758,0.8761904761904762,0.9134027348313062,5.333333333333333,3;6;7
aime,0.5833333333333334,ensemble,width_depth_h256d2,best_loss,0.6944444444444445,0.684019684019684,1.0,0.4761904761904761,0.632996632996633,0.8761904761904762,0.9089500446643303,5.666666666666667,4;9;4
aime,0.5833333333333334,ensemble,width_depth_h256d2,best_rank,0.8055555555555557,0.8049728049728051,1.0,0.6666666666666666,0.797979797979798,0.8523809523809524,0.9166666666666666,10.0,13;9;8
aime,0.5833333333333334,last_layer,default_h128d1,best_loss,0.5555555555555556,0.39144736842105265,0.7222222222222223,0.7142857142857143,0.5745614035087719,0.7999999999999999,0.9043083900226757,,
aime,0.5833333333333334,last_layer,width_only_h256d1,best_loss,0.5833333333333334,0.5409296585767175,0.5833333333333334,0.3333333333333333,0.42424242424242425,0.7333333333333333,0.8435734900020613,9.666666666666666,13;4;12
aime,0.5833333333333334,last_layer,width_only_h256d1,best_rank,0.5833333333333334,0.5409296585767175,0.5833333333333334,0.3333333333333333,0.42424242424242425,0.7333333333333333,0.8435734900020613,9.666666666666666,13;4;12
aime,0.5833333333333334,last_layer,width_depth_h256d2,best_loss,0.75,0.7494172494172494,0.8777777777777779,0.6666666666666666,0.7564102564102564,0.7238095238095239,0.8479385693671407,11.0,12;6;15
aime,0.5833333333333334,last_layer,width_depth_h256d2,best_rank,0.75,0.7494172494172494,0.8777777777777779,0.6666666666666666,0.7564102564102564,0.7238095238095239,0.8479385693671407,11.0,12;6;15
aime,0.5833333333333334,prompt_length,baseline,best_loss,0.6666666666666666,0.6666666666666666,0.8,0.5714285714285714,0.6666666666666666,0.8571428571428571,0.8976190476190475,,
math500,0.04,ensemble,default_h128d1,best_loss,0.5866666666666667,0.44423558897243104,0.09114959114959115,1.0,0.16666666666666666,0.8298611111111112,0.13539449523231653,,
math500,0.04,ensemble,width_only_h256d1,best_loss,0.6733333333333333,0.43911756415706066,0.05387205387205387,0.6666666666666666,0.09961950882047733,0.8667534722222223,0.16629226037120773,7.333333333333333,14;5;3
math500,0.04,ensemble,width_only_h256d1,best_rank,0.7799999999999999,0.4872234060960687,0.061505832449628844,0.5,0.10864197530864199,0.8359375,0.19931932506358618,5.666666666666667,3;11;3
math500,0.04,ensemble,width_depth_h256d2,best_loss,0.5133333333333333,0.40077738036875193,0.07606632361349341,1.0,0.1413640818933712,0.8628472222222223,0.15959054561995736,9.333333333333334,12;8;8
math500,0.04,ensemble,width_depth_h256d2,best_rank,0.5133333333333333,0.40077738036875193,0.07606632361349341,1.0,0.1413640818933712,0.8628472222222223,0.15959054561995736,9.333333333333334,12;8;8
math500,0.04,last_layer,default_h128d1,best_loss,0.7366666666666667,0.4682095302283497,0.060123784261715295,0.5833333333333334,0.10822510822510822,0.771701388888889,0.15057804113611736,,
math500,0.04,last_layer,width_only_h256d1,best_loss,0.5,0.35559073448365924,0.08370610870610871,0.8333333333333334,0.14860059034816317,0.7907986111111112,0.13145405902456694,10.333333333333334,4;12;15
math500,0.04,last_layer,width_only_h256d1,best_rank,0.5866666666666667,0.34330619546566393,0.041111111111111105,0.5,0.07326007326007326,0.7803819444444445,0.22011936330436035,3.3333333333333335,3;2;5
math500,0.04,last_layer,width_depth_h256d2,best_loss,0.48999999999999994,0.3841913670319561,0.07587282009113645,1.0,0.14070863433092537,0.7977430555555555,0.13220174696940948,11.0,15;7;11
math500,0.04,last_layer,width_depth_h256d2,best_rank,0.39666666666666667,0.30419920299904507,0.07068763490595127,1.0,0.13126194067370536,0.7708333333333334,0.14981820420624975,9.333333333333334,15;2;11
math500,0.04,prompt_length,baseline,best_loss,0.64,0.45750452079566006,0.07894736842105263,0.75,0.14285714285714285,0.7395833333333334,0.1001984126984127,,
mmlu_pro,0.012500000000000002,ensemble,default_h128d1,best_loss,0.8833333333333333,0.5623921213966615,0.11717171717171719,0.8333333333333334,0.18888888888888888,0.9636075949367089,0.18373015873015874,,
mmlu_pro,0.012500000000000002,ensemble,width_only_h256d1,best_loss,0.8770833333333332,0.574575018387635,0.12489177489177489,1.0,0.21764346764346765,0.9672995780590717,0.21164021164021163,4.333333333333333,2;3;8
mmlu_pro,0.012500000000000002,ensemble,width_only_h256d1,best_rank,0.8708333333333332,0.5621686847156108,0.11087061087061086,1.0,0.1956228363551018,0.9609704641350211,0.22112332112332114,4.333333333333333,2;7;4
mmlu_pro,0.012500000000000002,ensemble,width_depth_h256d2,best_loss,0.8541666666666666,0.5336184341110449,0.07936507936507936,1.0,0.147008547008547,0.9694092827004219,0.20226070226070225,6.666666666666667,12;1;7
mmlu_pro,0.012500000000000002,ensemble,width_depth_h256d2,best_rank,0.8666666666666667,0.5428552571409714,0.08585858585858586,1.0,0.1581196581196581,0.9683544303797468,0.22195767195767194,4.333333333333333,5;1;7
mmlu_pro,0.012500000000000002,last_layer,default_h128d1,best_loss,0.5416666666666666,0.35714930542674167,0.02499145299145299,0.8333333333333334,0.048264226609754025,0.8259493670886077,0.055852466442552984,,
mmlu_pro,0.012500000000000002,last_layer,width_only_h256d1,best_loss,0.8875000000000001,0.5213260629050103,0.057479557479557485,0.5,0.10277777777777779,0.8660337552742616,0.07012846015403561,13.333333333333334,10;15;15
mmlu_pro,0.012500000000000002,last_layer,width_only_h256d1,best_rank,0.8875000000000001,0.5213260629050103,0.057479557479557485,0.5,0.10277777777777779,0.8660337552742616,0.07012846015403561,13.333333333333334,10;15;15
mmlu_pro,0.012500000000000002,last_layer,width_depth_h256d2,best_loss,0.8645833333333334,0.492017484175584,0.033011272141706925,0.5,0.061111111111111116,0.9018987341772152,0.0958774250440917,11.0,15;15;3
mmlu_pro,0.012500000000000002,last_layer,width_depth_h256d2,best_rank,0.6979166666666666,0.41696321782072404,0.021159420289855072,0.6666666666666666,0.04084967320261438,0.9018987341772152,0.0984126984126984,8.666666666666666,15;8;3
mmlu_pro,0.012500000000000002,prompt_length,baseline,best_loss,0.5875,0.3965714285714286,0.029411764705882353,1.0,0.05714285714285715,0.8734177215189873,0.11036036036036036,,
livecodebench,0.3375000000000001,ensemble,default_h128d1,best_loss,0.7583333333333333,0.7473795119710372,0.6091274098139577,0.8271604938271605,0.6975615259773135,0.8561320754716982,0.711050462070169,,
livecodebench,0.3375000000000001,ensemble,width_only_h256d1,best_loss,0.6479166666666667,0.5808866516578338,0.6143171954540643,0.654320987654321,0.5138376774740411,0.8562776613091079,0.7142649196532469,7.666666666666667,4;15;4
livecodebench,0.3375000000000001,ensemble,width_only_h256d1,best_rank,0.6479166666666667,0.5808866516578338,0.6143171954540643,0.654320987654321,0.5138376774740411,0.8562776613091079,0.7142649196532469,7.666666666666667,4;15;4
livecodebench,0.3375000000000001,ensemble,width_depth_h256d2,best_loss,0.7541666666666668,0.7056826578484676,0.6765725738508882,0.5493827160493827,0.5894683512238371,0.8475133938970417,0.686477446209869,6.666666666666667,3;3;14
livecodebench,0.3375000000000001,ensemble,width_depth_h256d2,best_rank,0.78125,0.7461680652019885,0.6946958270487683,0.6358024691358025,0.6538388236501445,0.8461157698579083,0.697854339235989,6.0,3;2;13
livecodebench,0.3375000000000001,last_layer,default_h128d1,best_loss,0.7208333333333333,0.7138471831055507,0.5674401835463783,0.8888888888888888,0.6860991932708963,0.8550547402748659,0.711564036268643,,
livecodebench,0.3375000000000001,last_layer,width_only_h256d1,best_loss,0.7645833333333334,0.753647424855215,0.6136702654774944,0.8271604938271605,0.7029589514166862,0.8630910784998834,0.7451811987325421,14.666666666666666,14;15;15
livecodebench,0.3375000000000001,last_layer,width_only_h256d1,best_rank,0.7645833333333334,0.753647424855215,0.6136702654774944,0.8271604938271605,0.7029589514166862,0.8630910784998834,0.7451811987325421,14.666666666666666,14;15;15
livecodebench,0.3375000000000001,last_layer,width_depth_h256d2,best_loss,0.7520833333333333,0.7396255203662419,0.6013541491802362,0.7901234567901234,0.6827834054550223,0.8664686699277895,0.7574802128639501,15.0,15;15;15
livecodebench,0.3375000000000001,last_layer,width_depth_h256d2,best_rank,0.7520833333333333,0.7396255203662419,0.6013541491802362,0.7901234567901234,0.6827834054550223,0.8664686699277895,0.7574802128639501,15.0,15;15;15
livecodebench,0.3375000000000001,prompt_length,baseline,best_loss,0.65625,0.6461742591773552,0.4936708860759494,0.7222222222222222,0.5864661654135338,0.7203004891684137,0.5760332068574129,,
