dataset,layer,num_rows,query_position_mode,mean_prev_loop_mass,mean_last_prev_loop_mass,mean_prompt_mass,mean_current_trigger_mass,mean_recent_nonloop_mass,mean_other_completion_mass,top1_fraction_previous_loop,top1_fraction_last_previous_loop,top1_fraction_prompt,top1_fraction_current_trigger,top1_fraction_recent_nonloop,top1_fraction_other_completion
aime,0,30,trigger_start,0.2601290025437872,0.13130880834845204,0.000985615780155058,0.23012782062093418,0.2772968754793207,0.23146069124341012,0.22291666666666668,0.21458333333333332,0.0,0.42916666666666664,0.33958333333333335,0.008333333333333333
aime,1,30,trigger_start,0.3133640697536369,0.16455178108687202,0.006278245399395625,0.06544035679350296,0.3466494110490506,0.2682679091890653,0.32708333333333334,0.26458333333333334,0.008333333333333333,0.15416666666666667,0.4270833333333333,0.08333333333333333
aime,2,30,trigger_start,0.31854776963591575,0.15413489158575733,0.005070732020734188,0.06873156726360322,0.3121863748024528,0.2954635575413704,0.36041666666666666,0.25416666666666665,0.0020833333333333333,0.16875,0.41041666666666665,0.058333333333333334
aime,3,30,trigger_start,0.14699468649923803,0.055547388185126084,0.5554619659980138,0.010767729751144846,0.11849870449708154,0.16827692712346712,0.06041666666666667,0.029166666666666667,0.85625,0.0,0.058333333333333334,0.025
aime,4,30,trigger_start,0.14753150350103775,0.08569291760989775,0.47853322128454845,0.07536298210422197,0.1767223575928559,0.12184995537002881,0.06041666666666667,0.04583333333333333,0.7458333333333333,0.07916666666666666,0.09375,0.020833333333333332
aime,5,30,trigger_start,0.15164480108457307,0.1078525049398498,0.5415191352367401,0.04333499812831481,0.21155354824538034,0.05194752514362335,0.04375,0.04375,0.8791666666666667,0.01875,0.058333333333333334,0.0
aime,6,30,trigger_start,0.3164437449226777,0.10726314339941988,0.2557769015431404,0.029841155838221313,0.1746778755215928,0.22326032270987828,0.20416666666666666,0.1125,0.6020833333333333,0.058333333333333334,0.08541666666666667,0.05
aime,7,30,trigger_start,0.1908324781184395,0.11792825101874768,0.3521056999762853,0.05266245286911726,0.2517141434519241,0.1526852324604988,0.0625,0.06041666666666667,0.8041666666666667,0.03958333333333333,0.08958333333333333,0.004166666666666667
aime,8,30,trigger_start,0.21635322278986374,0.06263409950770438,0.3527211790283521,0.011885796363155047,0.14907367842970415,0.26996613343556725,0.09166666666666666,0.029166666666666667,0.8375,0.00625,0.03125,0.03333333333333333
aime,9,30,trigger_start,0.16715696019430956,0.07498915918016186,0.3437539279460907,0.08446151452759902,0.1497260976737986,0.25490149756272634,0.052083333333333336,0.0375,0.725,0.14375,0.03333333333333333,0.04583333333333333
aime,10,30,trigger_start,0.21646984725569685,0.12052969496386746,0.30027405818303426,0.053841311717405915,0.2661541211263587,0.16326066926121713,0.03333333333333333,0.03125,0.8375,0.05625,0.06875,0.004166666666666667
aime,11,30,trigger_start,0.26956633776426314,0.0803572687630852,0.20787689487139385,0.074092564980189,0.15343929076722512,0.29502492435276506,0.16458333333333333,0.07916666666666666,0.6354166666666666,0.07083333333333333,0.07708333333333334,0.052083333333333336
aime,12,30,trigger_start,0.2627909994373719,0.10396690629422664,0.2379581632713477,0.016300847509410233,0.22673594371105235,0.2562140497068564,0.07916666666666666,0.05416666666666667,0.775,0.03125,0.08958333333333333,0.025
aime,13,30,trigger_start,0.2888510383665562,0.09118653815239668,0.15010582332809766,0.021756929097076258,0.19263921480936308,0.3466470015545686,0.12916666666666668,0.06666666666666667,0.5916666666666667,0.06875,0.12916666666666668,0.08125
aime,14,30,trigger_start,0.27827205999443927,0.09259960670024156,0.19077210376660028,0.03314511524513364,0.20422633630223572,0.29358437955379485,0.07083333333333333,0.04375,0.7270833333333333,0.06666666666666667,0.08541666666666667,0.05
aime,15,30,trigger_start,0.24667388883729777,0.11553021703536312,0.2993640755613645,0.021937317820265888,0.2526839102618396,0.17934079691767693,0.052083333333333336,0.052083333333333336,0.8458333333333333,0.0020833333333333333,0.1,0.0
aime,16,30,trigger_start,0.28067318312823775,0.08263112778464952,0.24873922839760781,0.012539333508660397,0.16526639425816636,0.29278186659018196,0.13125,0.07708333333333334,0.6229166666666667,0.035416666666666666,0.12291666666666666,0.0875
aime,17,30,trigger_start,0.27850638243059317,0.11185726674739271,0.18392502292990684,0.021446970788141093,0.20472446208198866,0.3113971615831057,0.11041666666666666,0.10416666666666667,0.6791666666666667,0.05416666666666667,0.11458333333333333,0.041666666666666664
aime,18,30,trigger_start,0.2766353232165178,0.10628086229165395,0.2802152906854947,0.025095798385639984,0.1829335563389274,0.23512003322442374,0.12083333333333333,0.06666666666666667,0.7604166666666666,0.010416666666666666,0.09583333333333334,0.0125
aime,19,30,trigger_start,0.2363963154455026,0.10389075196969012,0.3146381641427676,0.04383679907768965,0.18322384578253453,0.22190487384796143,0.11041666666666666,0.09583333333333334,0.6729166666666667,0.07916666666666666,0.1125,0.025
aime,20,30,trigger_start,0.21066725651423138,0.0833267017112424,0.41168916622797647,0.013077617793654402,0.1219370468131577,0.2426289220650991,0.1125,0.09375,0.7895833333333333,0.0,0.07916666666666666,0.01875
aime,21,30,trigger_start,0.18434788398444651,0.04401560475428899,0.4706876873970032,0.008596954001889874,0.07630366041945914,0.2600638200839361,0.0875,0.04375,0.8875,0.0020833333333333333,0.0125,0.010416666666666666
aime,22,30,trigger_start,0.14065669340391954,0.05412217110084991,0.4992996573448181,0.03722579777240753,0.11413692644952486,0.20868094339966775,0.025,0.022916666666666665,0.9375,0.022916666666666665,0.014583333333333334,0.0
aime,23,30,trigger_start,0.13614720416565737,0.051808549005848664,0.5663224001725514,0.055711201826731366,0.08539227118405203,0.15642693291107815,0.03333333333333333,0.027083333333333334,0.8458333333333333,0.09375,0.027083333333333334,0.0
aime,24,30,trigger_start,0.13203245190282661,0.045418095247199135,0.5792239606380463,0.03890194656948249,0.07707898283066848,0.17276267210642496,0.03125,0.03125,0.9104166666666667,0.03333333333333333,0.025,0.0
aime,25,30,trigger_start,0.12431296358505885,0.03261336371457825,0.5698646823565165,0.027625076736633978,0.05548512281384319,0.22271216462055843,0.04375,0.020833333333333332,0.8958333333333334,0.025,0.00625,0.029166666666666667
aime,26,30,trigger_start,0.0991938238342603,0.023348919954150914,0.5357984473307927,0.062075114560623965,0.044038643513340504,0.2588939900199572,0.004166666666666667,0.004166666666666667,0.9,0.06458333333333334,0.0020833333333333333,0.029166666666666667
aime,27,30,trigger_start,0.08337622360947232,0.045621298835612833,0.6081618984540303,0.0899944784740607,0.08288050478246684,0.1355869064728419,0.025,0.025,0.85,0.09375,0.016666666666666666,0.014583333333333334
gpqa,0,121,trigger_start,0.14443424573429853,0.06673045291708232,0.004315636442321899,0.2431200529056147,0.4031827658749655,0.2049472972996964,0.07541322314049587,0.07128099173553719,0.0,0.41787190082644626,0.4989669421487603,0.007747933884297521
gpqa,1,121,trigger_start,0.17394968657946783,0.07520768669056745,0.020020551333003792,0.07117769211407535,0.4650297734043599,0.26982229677113617,0.15392561983471073,0.11002066115702479,0.07024793388429752,0.15547520661157024,0.5852272727272727,0.03512396694214876
gpqa,2,121,trigger_start,0.19691219639556468,0.08262365977837866,0.014887356008826331,0.09103141183202917,0.43617233164196695,0.26099670469021996,0.20299586776859505,0.12758264462809918,0.002066115702479339,0.19989669421487602,0.5320247933884298,0.06301652892561983
gpqa,3,121,trigger_start,0.09933049260246113,0.03215939375670042,0.5535560568009527,0.012653983361665006,0.16845979020942373,0.1659996773401075,0.04855371900826446,0.028409090909090908,0.868801652892562,0.0005165289256198347,0.06043388429752066,0.02169421487603306
gpqa,4,121,trigger_start,0.07813992851975658,0.039467490070128106,0.4925308500932268,0.08071181535228225,0.23103771494842934,0.11757969700785215,0.030475206611570247,0.02221074380165289,0.7417355371900827,0.08057851239669421,0.13016528925619836,0.017045454545454544
gpqa,5,121,trigger_start,0.06701598345294349,0.04585660803019914,0.5598240711472251,0.05017202975197641,0.27265073719082306,0.05033717875576709,0.011880165289256199,0.010330578512396695,0.8915289256198347,0.03202479338842975,0.06456611570247933,0.0
gpqa,6,121,trigger_start,0.22842702558956857,0.0635263392247629,0.27803489886039545,0.03607938328588551,0.24149588909537015,0.21596280654722994,0.1828512396694215,0.07747933884297521,0.5981404958677686,0.05475206611570248,0.11776859504132231,0.04648760330578512
gpqa,7,121,trigger_start,0.09833705628844948,0.05200888995876851,0.3562616564271864,0.056002627673351076,0.34420258401554416,0.14519607571284632,0.024793388429752067,0.02221074380165289,0.7923553719008265,0.06043388429752066,0.11621900826446281,0.006198347107438017
gpqa,8,121,trigger_start,0.14987471755132203,0.03989307180986055,0.36569275085098485,0.012432710896342345,0.21447683174994367,0.25752299386730865,0.05475206611570248,0.01962809917355372,0.8409090909090909,0.0046487603305785125,0.06301652892561983,0.03667355371900827
gpqa,9,121,trigger_start,0.0909053124583611,0.03541354782995287,0.36248744691699003,0.08772698971481363,0.21663570491027487,0.24224454552427796,0.027892561983471075,0.012913223140495868,0.7453512396694215,0.13739669421487602,0.061466942148760334,0.027892561983471075
gpqa,10,121,trigger_start,0.10534348853763716,0.05495838019580769,0.32087537399993454,0.05630621569585209,0.361611821246141,0.15586310024719593,0.017045454545454544,0.012396694214876033,0.8238636363636364,0.058884297520661155,0.09297520661157024,0.007231404958677686
gpqa,11,121,trigger_start,0.1744802775446418,0.04354758308223864,0.2262283823460587,0.07698021807576999,0.21871049762588024,0.30360062291060597,0.10588842975206611,0.04493801652892562,0.6456611570247934,0.07696280991735537,0.11570247933884298,0.05578512396694215
gpqa,12,121,trigger_start,0.15309325476323277,0.05787462427127868,0.23253188688646664,0.017892909424825888,0.32806164191743314,0.26842030685795243,0.03667355371900827,0.019111570247933883,0.7918388429752066,0.03254132231404959,0.11621900826446281,0.022727272727272728
gpqa,13,121,trigger_start,0.16849469830674574,0.051296775206184586,0.1724019545045766,0.02525602681331398,0.2956515283993453,0.3381957916065681,0.07179752066115702,0.03925619834710744,0.6162190082644629,0.06611570247933884,0.1771694214876033,0.06869834710743801
gpqa,14,121,trigger_start,0.15180942127558072,0.0476221316383405,0.21111398288780006,0.03549839326850146,0.29308103728069623,0.3084971656607202,0.03305785123966942,0.01962809917355372,0.7401859504132231,0.06663223140495868,0.11880165289256199,0.04132231404958678
gpqa,15,121,trigger_start,0.12759582358143054,0.05720064117455824,0.2986926590361871,0.023288874263482646,0.35776810226038347,0.19265453951541056,0.013946280991735538,0.013946280991735538,0.8383264462809917,0.0015495867768595042,0.14359504132231404,0.0025826446280991736
gpqa,16,121,trigger_start,0.18128065272303653,0.044248582765196394,0.2789352174140205,0.013675647027682791,0.21487441433647508,0.31123407172762657,0.07076446280991736,0.02634297520661157,0.6771694214876033,0.03667355371900827,0.12241735537190082,0.09297520661157024
gpqa,17,121,trigger_start,0.14495755136320906,0.05126495917533594,0.21684540962138452,0.024517541035455614,0.277694417140639,0.3359850818706938,0.03512396694214876,0.0253099173553719,0.6807851239669421,0.06353305785123967,0.18491735537190082,0.035640495867768594
gpqa,18,121,trigger_start,0.17868798749505982,0.052254386262800774,0.2935291400625686,0.027548010676545054,0.2534453460815832,0.24678952012919197,0.06714876033057851,0.030475206611570247,0.7887396694214877,0.007747933884297521,0.11776859504132231,0.01859504132231405
gpqa,19,121,trigger_start,0.14720265452234335,0.051731126897194814,0.3318653077133431,0.04581505916089066,0.2385989030109226,0.23651807354994056,0.058884297520661155,0.038223140495867766,0.7035123966942148,0.08574380165289257,0.12448347107438017,0.02737603305785124
gpqa,20,121,trigger_start,0.1280956488441337,0.04056453874453995,0.42258139607334927,0.012976375433485492,0.16484454458710268,0.27150204266644706,0.05630165289256198,0.04183884297520661,0.7871900826446281,0.0010330578512396695,0.11673553719008264,0.038739669421487606
gpqa,21,121,trigger_start,0.12472779501598975,0.02676835844715603,0.4917354022175813,0.00992746041387258,0.10590859210938369,0.2677007513967427,0.04493801652892562,0.01652892561983471,0.9142561983471075,0.003615702479338843,0.017045454545454544,0.020144628099173553
gpqa,22,121,trigger_start,0.10009925124381693,0.03419383624010558,0.49362554653616975,0.03367882956219606,0.1648383008504733,0.20775807544219593,0.019111570247933883,0.01652892561983471,0.9163223140495868,0.013946280991735538,0.047520661157024795,0.0030991735537190084
gpqa,23,121,trigger_start,0.08696244493096082,0.024966075961585812,0.5891882907753149,0.04858461059322042,0.11538050288511517,0.15988415067107226,0.01756198347107438,0.01084710743801653,0.8589876033057852,0.08987603305785125,0.03254132231404959,0.0010330578512396695
gpqa,24,121,trigger_start,0.0796026877504735,0.02088266463607765,0.6007363645991018,0.041147775216843964,0.10825964922907047,0.1702535232482863,0.009297520661157025,0.006714876033057851,0.9235537190082644,0.02634297520661157,0.03977272727272727,0.0010330578512396695
gpqa,25,121,trigger_start,0.082372634379147,0.01852048300100829,0.5698852100648171,0.029658143327779267,0.08842783898388397,0.22965618087486786,0.01859504132231405,0.005165289256198347,0.9204545454545454,0.020144628099173553,0.02169421487603306,0.019111570247933883
gpqa,26,121,trigger_start,0.07463546868506049,0.014740584093465446,0.5303022107802147,0.06497732992476422,0.07225459976812579,0.2578303927848162,0.0025826446280991736,0.0010330578512396695,0.8951446280991735,0.07231404958677685,0.0030991735537190084,0.026859504132231406
gpqa,27,121,trigger_start,0.040396128107662785,0.017119710862805896,0.6510388314231368,0.09982188606311466,0.1103141396864479,0.09842901716917014,0.0030991735537190084,0.0030991735537190084,0.8533057851239669,0.11466942148760331,0.02634297520661157,0.0025826446280991736
livecodebench,0,462,trigger_start,0.20467091929641235,0.09694178131321993,0.004352147603199366,0.20784399655216185,0.33683088376855547,0.24630205579972886,0.170995670995671,0.1490800865800866,0.002976190476190476,0.38311688311688313,0.43438852813852813,0.008522727272727272
livecodebench,1,462,trigger_start,0.25307720477664564,0.128800966984162,0.023152978256248034,0.06738021154585597,0.40178714438280577,0.2546024625693565,0.25960497835497837,0.19642857142857142,0.0872564935064935,0.1340638528138528,0.49959415584415584,0.01948051948051948
livecodebench,2,462,trigger_start,0.2645461454673053,0.11908920907296515,0.01031540023645253,0.07329349870515334,0.35070471469581516,0.30114024077659046,0.3033008658008658,0.20684523809523808,0.0027056277056277055,0.1701839826839827,0.45806277056277056,0.06574675324675325
livecodebench,3,462,trigger_start,0.1387039710771599,0.05317520766257706,0.5360951470735269,0.010676189869525338,0.1399284083147617,0.17459629005974248,0.08428030303030302,0.04383116883116883,0.8484848484848485,0.00027056277056277056,0.053841991341991344,0.013122294372294372
livecodebench,4,462,trigger_start,0.12233877463696638,0.06301649269332668,0.48128095133738086,0.07742710363974561,0.1935318629660551,0.12542131319803335,0.05451839826839827,0.04220779220779221,0.7486471861471862,0.08252164502164502,0.10538419913419914,0.008928571428571428
livecodebench,5,462,trigger_start,0.11914608322276211,0.0825700240917695,0.552766134083529,0.044820066295499665,0.22963350498513369,0.0536342194360314,0.033685064935064936,0.03233225108225108,0.8823051948051948,0.025838744588744588,0.05817099567099567,0.0
livecodebench,6,462,trigger_start,0.27957757673673816,0.0801752513896692,0.2634211348377781,0.03195284417068416,0.18716710330706768,0.23788134640816486,0.21171536796536797,0.09131493506493507,0.6141774891774892,0.05357142857142857,0.07873376623376624,0.04180194805194805
livecodebench,7,462,trigger_start,0.15406485422044686,0.0838415548757372,0.3667823626494511,0.050682964936318076,0.2731983332183652,0.15527148564946858,0.04071969696969697,0.03787878787878788,0.8210227272727273,0.049783549783549784,0.08658008658008658,0.001893939393939394
livecodebench,8,462,trigger_start,0.19337192505348103,0.049852890325914286,0.34959405138121025,0.010252321082030249,0.1710323712322861,0.2757493337027696,0.07061688311688312,0.023268398268398268,0.8518668831168831,0.004058441558441558,0.04450757575757576,0.028950216450216452
livecodebench,9,462,trigger_start,0.13651520533999226,0.05418703276699611,0.3597276468813677,0.07959805645887212,0.1662007564050347,0.2579583374872094,0.03896103896103896,0.023674242424242424,0.7596049783549783,0.12675865800865802,0.04788961038961039,0.026785714285714284
livecodebench,10,462,trigger_start,0.17353607007167282,0.08401213271703517,0.31830662001908083,0.05056100767065501,0.2911951585359835,0.16640114745536408,0.028950216450216452,0.023403679653679652,0.8357683982683982,0.05776515151515151,0.07548701298701299,0.002029220779220779
livecodebench,11,462,trigger_start,0.21117015316421206,0.05513239963971949,0.23460221011594776,0.07211574831437238,0.16302536051256483,0.3190865334429782,0.11972402597402597,0.04816017316017316,0.6617965367965368,0.07724567099567099,0.09036796536796536,0.050865800865800864
livecodebench,12,462,trigger_start,0.20083885223431375,0.07021848650734108,0.23540065510125904,0.015950379253907365,0.2519448133438369,0.2958653024055096,0.05478896103896104,0.03233225108225108,0.8041125541125541,0.025703463203463204,0.09334415584415584,0.0220508658008658
livecodebench,13,462,trigger_start,0.2251937146504204,0.06305921748502269,0.16592540938681338,0.02094111425194333,0.2189923163883081,0.3689474473219542,0.08685064935064934,0.042884199134199136,0.6505681818181818,0.06277056277056277,0.1266233766233766,0.07318722943722944
